,Job_URL,Date_Posted,Job_Title,Location
61,https://www.merckgroup.com/en/careers/jobs/269877.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Finance,Posted 12 Jan 2024,Change Expert,"Bonifacio Global City, Metro Manila, Philippines"
62,https://www.merckgroup.com/en/careers/jobs/271081.html?location=China&state=Liaoning&city=Shenyang&functionalarea=Commercial,Posted 12 Jan 2024,客户专员-糖尿病-杭州,"Shenyang, Liaoning, China"
63,https://www.merckgroup.com/en/careers/jobs/270627.html?location=China&state=Beijing&city=Beijing&functionalarea=Commercial,Posted 12 Jan 2024,客户主任-甲状腺-深圳,"Beijing, Beijing, China"
64,https://www.merckgroup.com/en/careers/jobs/271068.html?location=United States&state=New Hampshire&city=Jaffrey&functionalarea=Engineering & Skilled Trade,Posted 11 Jan 2024,Controls Engineer,"Jaffrey, New Hampshire, United States"
65,https://www.merckgroup.com/en/careers/jobs/271033.html?location=United States&state=Missouri&city=St. Louis&functionalarea=Manufacturing,Posted 11 Jan 2024,Manufacturing Supervisor 2nd Shift - Cell Culture Media,"St. Louis, Missouri, United States"
66,https://www.merckgroup.com/en/careers/jobs/270557.html?location=Mexico&state=Estado de Mexico&city=Naucalpan de Juarez&functionalarea=Quality,Posted 11 Jan 2024,Quality Auditor,"Naucalpan de Juarez, Estado de Mexico, Mexico"
67,https://www.merckgroup.com/en/careers/jobs/271089.html?location=Spain&state=Madrid&city=Madrid&functionalarea=Legal,Posted 11 Jan 2024,"Senior Legal Counsel GBF Cardiovascular, Metabolism and Endocrinology","Madrid, Madrid, Spain"
68,https://www.merckgroup.com/en/careers/jobs/269960.html?location=Spain&state=Barcelona&city=Mollet del Valles&functionalarea=Information Technology,Posted 11 Jan 2024,IT Expert Manufacturing & EMEA Applications,"Mollet del Valles, Barcelona, Spain"
69,https://www.merckgroup.com/en/careers/jobs/271134.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Finance,Posted 11 Jan 2024,Senior Controlling Analyst,"Bonifacio Global City, Metro Manila, Philippines"
70,https://www.merckgroup.com/en/careers/jobs/271016.html?location=Spain&state=Barcelona&city=Mollet del Valles&functionalarea=Human Resources,Posted 11 Jan 2024,HRBP Healthcare GHO Mollet,"Mollet del Valles, Barcelona, Spain"
71,https://www.merckgroup.com/en/careers/jobs/271005.html?location=Germany&state=Hessen&city=Darmstadt&functionalarea=Commercial,Posted 11 Jan 2024,Working student for Marketing (all genders),"Darmstadt, Hessen, Germany"
72,https://www.merckgroup.com/en/careers/jobs/268795.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Quality,Posted 11 Jan 2024,"Data Analytics - TrackWise, Veeva, Palantir Foundry","Bangalore, Karnataka, India"
73,https://www.merckgroup.com/en/careers/jobs/270503.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Quality,Posted 11 Jan 2024,Specialist,"Bangalore, Karnataka, India"
74,https://www.merckgroup.com/en/careers/jobs/271107.html?location=Spain&state=Madrid&city=Madrid&functionalarea=Research & Development,Posted 11 Jan 2024,"Associate Director, Clinical Trial Lead","Madrid, Madrid, Spain"
75,https://www.merckgroup.com/en/careers/jobs/271108.html?location=Belgium&state=Vlaams-Brabant&city=Overijse&functionalarea=Research & Development,Posted 11 Jan 2024,"Associate Director, Clinical Trial Lead (m/f/d)","Overijse, Vlaams-Brabant, Belgium"
76,https://www.merckgroup.com/en/careers/jobs/271123.html?location=Vietnam&state=Ho Chi Minh&city=Ho Chi Minh City&functionalarea=Others,Posted 11 Jan 2024,Credit Collection Specialist,"Ho Chi Minh City, Ho Chi Minh, Vietnam"
